가맹점명,전화번호,주소,데이터기준일자
동백국수 서귀포점,,제주특별자치도 서귀포시 안덕면 한창로110번길 64,2024-05-20
빵사계,,제주특별자치도 서귀포시 안덕면 향교로 151,2024-05-20
사계해녀의집,,제주특별자치도 서귀포시 안덕면 형제해안로 13-1,2024-05-20
당일바리,064-792-5853,제주특별자치도 서귀포시 안덕면 형제해안로 20,2024-05-20
돈벨롱,,제주특별자치도 서귀포시 안덕면 형제해안로 22,2024-05-20
사계해변국수,,제주특별자치도 서귀포시 안덕면 형제해안로 24,2024-05-20
씨유(CU)서귀사계포구점,,제주특별자치도 서귀포시 안덕면 형제해안로 24,2024-05-20
사계바다,064-794-5504,제주특별자치도 서귀포시 안덕면 형제해안로 26,2024-05-20
에캄(EKAM),,제주특별자치도 서귀포시 안덕면 형제해안로 72,2024-05-20
명품동막골식당,064-792-2548,제주특별자치도 서귀포시 안덕면 화순로,2024-05-20
어멍국수,064-794-9520,제주특별자치도 서귀포시 안덕면 화순로,2024-05-20
장가네일품순두부 화순점,064-794-1608,제주특별자치도 서귀포시 안덕면 화순로 100,2024-05-20
화순산호,064-794-8855,제주특별자치도 서귀포시 안덕면 화순로 100-1,2024-05-20
부가부가부가네얼큰이화순점,064-794-9265,제주특별자치도 서귀포시 안덕면 화순로 101,2024-05-20
치킨과바람피자 화순점,064-794-9297,제주특별자치도 서귀포시 안덕면 화순로 101,2024-05-20
공이공둘(0202),,제주특별자치도 서귀포시 안덕면 화순로 101-1,2024-05-20
영웅식당,064-792-7090,제주특별자치도 서귀포시 안덕면 화순로 102-1,2024-05-20
나누리김밥천국,064-792-3989,제주특별자치도 서귀포시 안덕면 화순로 104-1,2024-05-20
탕에꼬치다,064-792-8281,제주특별자치도 서귀포시 안덕면 화순로 107,2024-05-20
중앙식당,,제주특별자치도 서귀포시 안덕면 화순로 108,2024-05-20
안대장순대국밥,064-792-5133,제주특별자치도 서귀포시 안덕면 화순로 110,2024-05-20
오레노카츠제주화순점,064-792-3332,제주특별자치도 서귀포시 안덕면 화순로 119,2024-05-20
산방산초밥,064-792-5556,제주특별자치도 서귀포시 안덕면 화순로 119,2024-05-20
뚜레쥬르 제주화순점,,제주특별자치도 서귀포시 안덕면 화순로 119,2024-05-20
안덕농협하나로마트,064-794-0920,제주특별자치도 서귀포시 안덕면 화순로 122,2024-05-20
화순평양면옥,064-792-0215,제주특별자치도 서귀포시 안덕면 화순로 128,2024-05-20
호도제과,,제주특별자치도 서귀포시 안덕면 화순로 132,2024-05-20
화순산방산올레,064-792-5392,제주특별자치도 서귀포시 안덕면 화순로 135,2024-05-20
모희,,제주특별자치도 서귀포시 안덕면 화순로 140-1,2024-05-20
지에스25화순육거리점,,제주특별자치도 서귀포시 안덕면 화순로 142,2024-05-20
대가중화요리,064-792-2005,제주특별자치도 서귀포시 안덕면 화순로 154-21,2024-05-20
편백돈나무,064-712-1174,제주특별자치도 서귀포시 안덕면 화순로 154-23,2024-05-20
천지연숯화로구이,064-794-6243,제주특별자치도 서귀포시 안덕면 화순로 154-7,2024-05-20
알동네집화순점,064-792-0828,제주특별자치도 서귀포시 안덕면 화순로 6,2024-05-20
초밥충전,064-794-3840,제주특별자치도 서귀포시 안덕면 화순로 65,2024-05-20
화맛난흑돼지,064-792-0192,제주특별자치도 서귀포시 안덕면 화순로 71,2024-05-20
산방정육,064-792-5892,제주특별자치도 서귀포시 안덕면 화순로 82,2024-05-20
산방도감산방산본점,064-792-5892,제주특별자치도 서귀포시 안덕면 화순로 82,2024-05-20
돈아돈아숯불구이,064-792-8892,제주특별자치도 서귀포시 안덕면 화순로 87,2024-05-20
명경식당,064-794-9557,제주특별자치도 서귀포시 안덕면 화순로 88,2024-05-20
마지,,제주특별자치도 서귀포시 안덕면 화순로 96,2024-05-20
은숙이네 식당,064-758-5780,제주특별자치도 서귀포시 안덕면 화순로 97,2024-05-20
부가네얼큰이화순점,,제주특별자치도 서귀포시 안덕면 화순로 98,2024-05-20
식과함께,064-900-9745,제주특별자치도 서귀포시 안덕면 화순로142번길 11-9,2024-05-20
빌레왓,064-733-4130,제주특별자치도 서귀포시 안덕면 화순서동로 14,2024-05-20
서광춘희,064-712-3938,제주특별자치도 서귀포시 안덕면 화순서동로 367,2024-05-20
정오어멍네집,064-792-9279,제주특별자치도 서귀포시 안덕면 화순서서로 272,2024-05-20
혜원,064-794-0992,제주특별자치도 서귀포시 안덕면 화순서서로 397,2024-05-20
(주)풀베개,064-792-2717,제주특별자치도 서귀포시 안덕면 화순서서로 492-4,2024-05-20
서광로타리,064-794-4200,제주특별자치도 서귀포시 안덕면 화순서서로 492-9,2024-05-20
씨유서귀서광로타리점,,제주특별자치도 서귀포시 안덕면 화순서서로 492-9,2024-05-20
블랙피그 제주흑돼지,064-794-7731,제주특별자치도 서귀포시 안덕면 화순서서로 63,2024-05-20
FOREST.J COWSHED,064-792-9909,제주특별자치도 서귀포시 안덕면 화순서서로64번길 16,2024-05-20
분식집,064-792-9900,제주특별자치도 서귀포시 안덕면 화순서서로64번길 69,2024-05-20
이프유캔,,제주특별자치도 서귀포시 안덕면 화순임중로 53,2024-05-20
제주맘순두부,,제주특별자치도 서귀포시 안덕면 화순임중로37번길 3-10,2024-05-20
오들락,064-739-4537,제주특별자치도 서귀포시 안덕면 화순임중로7번길 56,2024-05-20
프랭크버거,064-794-7123,제주특별자치도 서귀포시 안덕면 화순재남로 19,2024-05-20
불타는여고24시 제주화순점,064-794-9007,제주특별자치도 서귀포시 안덕면 화순재남로 19,2024-05-20
머그낭식당,064-792-0006,제주특별자치도 서귀포시 안덕면 화순재남로 39,2024-05-20
올레길회센타,064-792-1156,제주특별자치도 서귀포시 안덕면 화순재남로 5,2024-05-20
맵쪼롱불닭,064-792-1230,제주특별자치도 서귀포시 안덕면 화순재남로 5,2024-05-20
신남바띠똘,,제주특별자치도 서귀포시 안덕면 화순재남로 5,2024-05-20
크리스탈허즈 주식회사,064-792-2322,제주특별자치도 서귀포시 안덕면 화순재남로7번길 20,2024-05-20
크리스탈허즈,,제주특별자치도 서귀포시 안덕면 화순재남로7번길 20,2024-05-20
제주기장횟집,064-792-5050,제주특별자치도 서귀포시 안덕면 화순중앙로 103,2024-05-20
어진식당,064-794-9166,제주특별자치도 서귀포시 안덕면 화순중앙로 109,2024-05-20
부두슈퍼,064-792-1081,제주특별자치도 서귀포시 안덕면 화순중앙로 133,2024-05-20
비에이치씨(BHC) 제주화순점,064-792-7755,제주특별자치도 서귀포시 안덕면 화순중앙로 20,2024-05-20
파리바게뜨 제주화순점,,제주특별자치도 서귀포시 안덕면 화순중앙로 29,2024-05-20
미나스시,,제주특별자치도 서귀포시 안덕면 화순중앙로 37-1,2024-05-20
금모래흑돼지숯불구이,064-794-5252,제주특별자치도 서귀포시 안덕면 화순중앙로 48,2024-05-20
박가네,064-794-3578,제주특별자치도 서귀포시 안덕면 화순중앙로 51,2024-05-20
79대포 제주화순점,,제주특별자치도 서귀포시 안덕면 화순중앙로 51,2024-05-20
자담치킨,,제주특별자치도 서귀포시 안덕면 화순중앙로 51,2024-05-20
한라가든,064-794-0363,제주특별자치도 서귀포시 안덕면 화순중앙로 52-4,2024-05-20
호가,064-792-2366,제주특별자치도 서귀포시 안덕면 화순중앙로 64,2024-05-20
트리플쓰리,,제주특별자치도 서귀포시 안덕면 화순중앙로 65,2024-05-20
GS25화순아일랜드점,,제주특별자치도 서귀포시 안덕면 화순중앙로 94,2024-05-20
밀밀스,,제주특별자치도 서귀포시 안덕면 화순중앙로12번길 2,2024-05-20
국밥생각 산방산점,064-794-9994,제주특별자치도 서귀포시 안덕면 화순중앙로12번길 39,2024-05-20
무지개정육,064-794-7986,제주특별자치도 서귀포시 안덕면 화순중앙로54번길 32,2024-05-20
화순한가네식당,,제주특별자치도 서귀포시 안덕면 화순해안로 109,2024-05-20
산방산초가집,064-792-0688,제주특별자치도 서귀포시 안덕면 화순해안로 189,2024-05-20
새물국수,064-748-9000,제주특별자치도 서귀포시 안덕면 화순해안로 63,2024-05-20
화순코사마트,064-792-1949,제주특별자치도 서귀포시 안덕면 화순해안로 66,2024-05-20
닭발치킨먹고,,제주특별자치도 서귀포시 안덕면 화순해안로 67,2024-05-20
제주할망밥상,,제주특별자치도 서귀포시 안덕면 화순해안로 89,2024-05-20
올래슈퍼,,제주특별자치도 서귀포시 안덕면 화순해안로 89,2024-05-20
광성식당,,제주특별자치도 서귀포시 안덕면 화순해안로106번길 12,2024-05-20
빅트리,,제주특별자치도 서귀포시 안덕면 화순해안로106번길 8,2024-05-20
빅트리,,제주특별자치도 서귀포시 안덕면 화순해안로106번길 8,2024-05-20
예래슈퍼마켓,064-738-0815,제주특별자치도 서귀포시 열리로 72,2024-05-20
산골기러기,,제주특별자치도 서귀포시 염돈로 123,2024-05-20
우화,,제주특별자치도 서귀포시 염돈로28번길 25,2024-05-20
칼초네화덕피자,064-738-9387,제주특별자치도 서귀포시 예래로 115,2024-05-20
예래오마트,064-739-5058,제주특별자치도 서귀포시 예래로 141,2024-05-20
비비큐서귀포예래점,064-739-1690,제주특별자치도 서귀포시 예래로 223-7,2024-05-20
돔뱅이,064-739-2388,제주특별자치도 서귀포시 예래로 229,2024-05-20
제주색달식당,064-738-1741,제주특별자치도 서귀포시 예래로 255-18,2024-05-20
좋은가든,064-738-6003,제주특별자치도 서귀포시 예래로 255-24,2024-05-20
더이칠하나,064-712-3456,제주특별자치도 서귀포시 예래로 271,2024-05-20
뜬드르슈퍼,,제주특별자치도 서귀포시 예래로 271,2024-05-20
애월연탄집 서귀포점,,제주특별자치도 서귀포시 예래로 296-1,2024-05-20
해주소반 예래점,,제주특별자치도 서귀포시 예래로 307,2024-05-20
주식회사 리볼버,064-738-7537,제주특별자치도 서귀포시 예래로 31,2024-05-20
GS25중문버자야점,,제주특별자치도 서귀포시 예래로 38,2024-05-20
이디오라게,,제주특별자치도 서귀포시 예래로 411,2024-05-20
이디오라게,,제주특별자치도 서귀포시 예래로 411,2024-05-20
준이네갈비,064-738-0814,제주특별자치도 서귀포시 예래로 435,2024-05-20
난드르포구,,제주특별자치도 서귀포시 예래로 435,2024-05-20
상하이예래점,064-738-5590,제주특별자치도 서귀포시 예래로 436-1,2024-05-20
난드르해장국,064-738-2644,제주특별자치도 서귀포시 예래로 442-1,2024-05-20
씨유(CU) 서귀예래점,,제주특별자치도 서귀포시 예래로 446,2024-05-20
예래미반,070-4266-7377,제주특별자치도 서귀포시 예래로 452,2024-05-20
GS25대평중앙점,,제주특별자치도 서귀포시 예래로 454,2024-05-20
마노아,,제주특별자치도 서귀포시 예래로 454,2024-05-20
삼백식당,064-738-9506,제주특별자치도 서귀포시 예래로 466-1,2024-05-20
맛있수다,064-762-9898,제주특별자치도 서귀포시 예래로 50,2024-05-20
쏠티 브리즈,,제주특별자치도 서귀포시 예래로 88,2024-05-20
보리솔식당,064-738-3466,제주특별자치도 서귀포시 예래로 97,2024-05-20
일상(ILSANG),064-831-4834,제주특별자치도 서귀포시 예래로 98,2024-05-20
씨유(CU) 서귀예래마을점,,제주특별자치도 서귀포시 예래로 98,2024-05-20
우정식당,064-738-6656,제주특별자치도 서귀포시 예래로109번길 12,2024-05-20
세븐일레븐서귀포롯데기숙사점,,제주특별자치도 서귀포시 예래로109번길 14,2024-05-20
이정의댁,,제주특별자치도 서귀포시 예래로144번길 22,2024-05-20
주식회사 나니아,064-801-9089,제주특별자치도 서귀포시 예래로396번길 13-33,2024-05-20
쇼어,,제주특별자치도 서귀포시 예래해안로 15,2024-05-20
팔길(PALGIL),,제주특별자치도 서귀포시 예래해안로 195-1,2024-05-20
마녀의언덕,,제주특별자치도 서귀포시 예래해안로 205,2024-05-20
세븐일레븐 제주히든클리프점,,제주특별자치도 서귀포시 예래해안로 542,2024-05-20
FLOW,064-721-7978,제주특별자치도 서귀포시 예래해안로 550,2024-05-20
플로우스,,제주특별자치도 서귀포시 예래해안로 550,2024-05-20
마시레흑돈,064-739-9285,제주특별자치도 서귀포시 용흥로38번길 49-1,2024-05-20
엉또 고깃집,064-739-9295,제주특별자치도 서귀포시 용흥로38번길 84-4,2024-05-20
동양식당(주),064-748-6968,제주특별자치도 서귀포시 용흥로66번길 153,2024-05-20
헤이밀키,,제주특별자치도 서귀포시 월드컵로 100,2024-05-20
육길,064-739-3532,제주특별자치도 서귀포시 월드컵로 107,2024-05-20
탐복,064-738-8398,제주특별자치도 서귀포시 월드컵로 108,2024-05-20
감각,,제주특별자치도 서귀포시 월드컵로 111,2024-05-20
호식이두마리치킨서귀포월드컵점,064-739-0339,제주특별자치도 서귀포시 월드컵로 115,2024-05-20
올바른면옥,064-739-1040,제주특별자치도 서귀포시 월드컵로 14,2024-05-20
가시어멍김밥,,제주특별자치도 서귀포시 월드컵로 14,2024-05-20
심야식당,064-777-1717,제주특별자치도 서귀포시 월드컵로 157,2024-05-20
범섬족발,064-738-0199,제주특별자치도 서귀포시 월드컵로 158,2024-05-20
산지해장국서귀포점,064-738-1229,제주특별자치도 서귀포시 월드컵로 16,2024-05-20
범섬화덕,064-738-6540,제주특별자치도 서귀포시 월드컵로 161-1,2024-05-20
오병이어,064-738-9202,제주특별자치도 서귀포시 월드컵로 161-1,2024-05-20
감탄,,제주특별자치도 서귀포시 월드컵로 161-1,2024-05-20
브릿지163·착한삼춘,064-738-4490,제주특별자치도 서귀포시 월드컵로 163,2024-05-20
범섬포차,064-738-5582,제주특별자치도 서귀포시 월드컵로 163,2024-05-20
제주사조,,제주특별자치도 서귀포시 월드컵로 163,2024-05-20
한치나라,064-739-4393,제주특별자치도 서귀포시 월드컵로 165,2024-05-20
지에스25 서귀포범섬점,,제주특별자치도 서귀포시 월드컵로 169,2024-05-20
세븐일레븐서귀포범섬점,,제주특별자치도 서귀포시 월드컵로 169,2024-05-20
올레길밥상,064-738-5253,제주특별자치도 서귀포시 월드컵로 171,2024-05-20
뼈큰감자탕서귀포강정점,,제주특별자치도 서귀포시 월드컵로 172,2024-05-20
안동본가국밥,064-738-0399,제주특별자치도 서귀포시 월드컵로 18-1,2024-05-20
텐저린 키친,,제주특별자치도 서귀포시 월드컵로 192,2024-05-20
제주김만복김밥서귀포점,064-796-8582,제주특별자치도 서귀포시 월드컵로 193,2024-05-20
러디스,,제주특별자치도 서귀포시 월드컵로 202,2024-05-20
주식회사탐궁,064-739-8944,제주특별자치도 서귀포시 월드컵로 32,2024-05-20
닥터박스 제주월드컵경기장점,064-738-1181,제주특별자치도 서귀포시 월드컵로 33,2024-05-20
롯데시네마 서귀포관_온라인 티켓 외,064-738-9917,제주특별자치도 서귀포시 월드컵로 33,2024-05-20
바리스타월드컵경기장점,064-738-9917,제주특별자치도 서귀포시 월드컵로 33,2024-05-20
냉면꽃필무렵,064-739-5788,제주특별자치도 서귀포시 월드컵로 33,2024-05-20
제주장터,064-749-3720,제주특별자치도 서귀포시 월드컵로 33,2024-05-20
세븐일레븐 제주월드컵경기장점,,제주특별자치도 서귀포시 월드컵로 33,2024-05-20
세븐일레븐 제주월드컵경기장점,,제주특별자치도 서귀포시 월드컵로 33,2024-05-20
라산그룹 제주월드컵경기장점,,제주특별자치도 서귀포시 월드컵로 33,2024-05-20
코츠커퍼,,제주특별자치도 서귀포시 월드컵로 51,2024-05-20
부부요리단,070-4647-2383,제주특별자치도 서귀포시 월드컵로 63,2024-05-20
월드컵흑돼지,064-738-3292,제주특별자치도 서귀포시 월드컵로 74,2024-05-20
엉클통김밥 법환점,064-738-0816,제주특별자치도 서귀포시 월드컵로 8,2024-05-20
주식회사 시스터필드,064-739-2225,제주특별자치도 서귀포시 월드컵로 8,2024-05-20
피슈마라홍탕,064-739-2400,제주특별자치도 서귀포시 월드컵로 8,2024-05-20
씨유서귀월드컵로점,,제주특별자치도 서귀포시 월드컵로 8,2024-05-20
GS25폴에이리조트점,,제주특별자치도 서귀포시 월드컵로45번길 40,2024-05-20
상효올레집,064-732-7850,제주특별자치도 서귀포시 월라봉로 136,2024-05-20
제과빵빵,,제주특별자치도 서귀포시 월라봉로34번길 34,2024-05-20
감따남,,제주특별자치도 서귀포시 월산로 16,2024-05-20
엉또올레차이나타운,,제주특별자치도 서귀포시 월산로 3,2024-05-20
커뮤니테이블,064-739-1390,제주특별자치도 서귀포시 월평로 15,2024-05-20
리틀포레스트,,제주특별자치도 서귀포시 월평로 15,2024-05-20
여월,,제주특별자치도 서귀포시 월평로 37,2024-05-20
월평식당,,제주특별자치도 서귀포시 월평로50번길 10,2024-05-20
아왜낭목제빵소,064-739-0705,제주특별자치도 서귀포시 월평하원로 11,2024-05-20
송이슈퍼,064-739-1952,제주특별자치도 서귀포시 월평하원로 11,2024-05-20
동카름엔황금농장,,제주특별자치도 서귀포시 월평하원로 12,2024-05-20
내적친밀,,제주특별자치도 서귀포시 월평하원로 145-3,2024-05-20
올레칠돈,064-739-5533,제주특별자치도 서귀포시 월평하원로 20,2024-05-20
오룸(5room),064-738-5015,제주특별자치도 서귀포시 이어도로,2024-05-20
큰어멍식당,064-739-5565,제주특별자치도 서귀포시 이어도로 1036,2024-05-20
범섬칼국수,064-739-6966,제주특별자치도 서귀포시 이어도로 1039,2024-05-20
씨유서귀포법환길점,,제주특별자치도 서귀포시 이어도로 1041-1,2024-05-20
신우가촌,064-739-1854,제주특별자치도 서귀포시 이어도로 1042,2024-05-20
하영횟집,064-739-8161,제주특별자치도 서귀포시 이어도로 1043,2024-05-20
백록정육식당,064-738-9230,제주특별자치도 서귀포시 이어도로 1046,2024-05-20
백록 정육식당,064-738-9232,제주특별자치도 서귀포시 이어도로 1046,2024-05-20
헬로우보일링크랩,070-8147-3453,제주특별자치도 서귀포시 이어도로 1048,2024-05-20
경성살롱,,제주특별자치도 서귀포시 이어도로 1051,2024-05-20
섬돈까스,,제주특별자치도 서귀포시 이어도로 1052,2024-05-20
내일또순대국,064-739-2547,제주특별자치도 서귀포시 이어도로 1055,2024-05-20
뻘떡낙지서귀포점,,제주특별자치도 서귀포시 이어도로 1059,2024-05-20
전원일기본점,064-739-1620,제주특별자치도 서귀포시 이어도로 1065,2024-05-20
트리플에이 제주 신서귀포점,,제주특별자치도 서귀포시 이어도로 1065,2024-05-20
지에스25 서귀대포점,,제주특별자치도 서귀포시 이어도로 129,2024-05-20
세븐일레븐서귀포대포점,,제주특별자치도 서귀포시 이어도로 163,2024-05-20
대포동산횟집,064-738-6060,제주특별자치도 서귀포시 이어도로 164,2024-05-20
동도원,064-738-2201,제주특별자치도 서귀포시 이어도로 189,2024-05-20
큰솔가,064-738-1136,제주특별자치도 서귀포시 이어도로 193,2024-05-20
제주흑돼지와전복본점,064-739-7171,제주특별자치도 서귀포시 이어도로 193,2024-05-20
대포해송,064-738-4060,제주특별자치도 서귀포시 이어도로 200-7,2024-05-20
마리조아,,제주특별자치도 서귀포시 이어도로 215,2024-05-20
꽃돼지,064-738-0018,제주특별자치도 서귀포시 이어도로 227,2024-05-20
하원가흑돼지,064-735-9507,제주특별자치도 서귀포시 이어도로 278,2024-05-20
제주용산유스호스텔식당,,제주특별자치도 서귀포시 이어도로 297,2024-05-20
총총휴게음식점,,제주특별자치도 서귀포시 이어도로 301,2024-05-20
소로안,,제주특별자치도 서귀포시 이어도로 301,2024-05-20
꺼멍목장,064-739-9289,제주특별자치도 서귀포시 이어도로 338,2024-05-20
사우스쇼어,,제주특별자치도 서귀포시 이어도로 338,2024-05-20
리조이스,,제주특별자치도 서귀포시 이어도로 392,2024-05-20
씨유서귀월평동점,064-739-7759,제주특별자치도 서귀포시 이어도로 398,2024-05-20
대기정,064-739-1041,제주특별자치도 서귀포시 이어도로 41,2024-05-20
만추,064-739-7726,제주특별자치도 서귀포시 이어도로 497,2024-05-20
코리몽반점,,제주특별자치도 서귀포시 이어도로 533,2024-05-20
수일통닭강정점,064-739-9291,제주특별자치도 서귀포시 이어도로 565,2024-05-20
솔대왓,064-739-0304,제주특별자치도 서귀포시 이어도로 571,2024-05-20
중문농협강정지소,064-739-6041,제주특별자치도 서귀포시 이어도로 572,2024-05-20
중문농협강정-면세유,064-739-6041,제주특별자치도 서귀포시 이어도로 572,2024-05-20
흑돈퍼주는집,064-739-1134,제주특별자치도 서귀포시 이어도로 572-1,2024-05-20
야미부대찌개강정점,064-900-8802,제주특별자치도 서귀포시 이어도로 573,2024-05-20
제주흑돈만두강정점,064-739-6776,제주특별자치도 서귀포시 이어도로 578-1,2024-05-20
씨유강정마을점,,제주특별자치도 서귀포시 이어도로 579,2024-05-20
몰질식육식당,064-739-1542,제주특별자치도 서귀포시 이어도로 598,2024-05-20
비에이치씨제주강정점,064-739-0067,제주특별자치도 서귀포시 이어도로 602,2024-05-20
해맑음,,제주특별자치도 서귀포시 이어도로 604,2024-05-20
굿 올 데이즈,,제주특별자치도 서귀포시 이어도로 621,2024-05-20
강정중국집,064-738-7016,제주특별자치도 서귀포시 이어도로 633,2024-05-20
쏭스핫도그제주강정점,,제주특별자치도 서귀포시 이어도로 633,2024-05-20
씨유서귀강정천점,064-726-7050,제주특별자치도 서귀포시 이어도로 638,2024-05-20
본투비버거앤피자,,제주특별자치도 서귀포시 이어도로 640,2024-05-20
네네치킨 강정해군기지점,,제주특별자치도 서귀포시 이어도로 640,2024-05-20
GS25N서귀강정점,,제주특별자치도 서귀포시 이어도로 662,2024-05-20
왕돌식당,,제주특별자치도 서귀포시 이어도로 668,2024-05-20
푸라닭강정점,064-738-9289,제주특별자치도 서귀포시 이어도로 679,2024-05-20
두가시의 부엌,064-739-7874,제주특별자치도 서귀포시 이어도로 679,2024-05-20
영육일삼,,제주특별자치도 서귀포시 이어도로 679,2024-05-20
농업회사법인제가원주식회사,064-738-4789,제주특별자치도 서귀포시 이어도로 683,2024-05-20
씨유(CU) 서귀켄싱턴리조트점,,제주특별자치도 서귀포시 이어도로 684,2024-05-20
홍쉐프의중국집,064-739-8339,제주특별자치도 서귀포시 이어도로 685-1,2024-05-20
세븐일레븐 서귀포강정천점,,제주특별자치도 서귀포시 이어도로 685-1,2024-05-20
용천상회,064-739-6852,제주특별자치도 서귀포시 이어도로 685-2,2024-05-20
탐랑성,064-738-6669,제주특별자치도 서귀포시 이어도로 689,2024-05-20
제주밥상,064-739-8558,제주특별자치도 서귀포시 이어도로 720,2024-05-20
제주곰집,064-739-6002,제주특별자치도 서귀포시 이어도로 733,2024-05-20
족발이닭엄마네식당,064-748-0123,제주특별자치도 서귀포시 이어도로 738,2024-05-20
대포어촌횟집,064-738-0560,제주특별자치도 서귀포시 이어도로 75,2024-05-20
찹쌀순대,064-739-4448,제주특별자치도 서귀포시 이어도로 752,2024-05-20
GS25제주강정점,,제주특별자치도 서귀포시 이어도로 752,2024-05-20
엘스테이바베큐하우스,064-739-4114,제주특별자치도 서귀포시 이어도로 760,2024-05-20
보래식탁,,제주특별자치도 서귀포시 이어도로 766,2024-05-20
예소미보쌈,064-739-3787,제주특별자치도 서귀포시 이어도로 769,2024-05-20
풍향가든,064-738-2220,제주특별자치도 서귀포시 이어도로 770,2024-05-20
강정북어국,064-735-0200,제주특별자치도 서귀포시 이어도로 777,2024-05-20
제주 돈사돈 서귀포점,064-738-0779,제주특별자치도 서귀포시 이어도로 778-1,2024-05-20
씨유서귀강정이어도로점,064-726-7050,제주특별자치도 서귀포시 이어도로 793,2024-05-20
올레정안회센타,064-739-5959,제주특별자치도 서귀포시 이어도로 793,2024-05-20
솔사랑,064-739-3885,제주특별자치도 서귀포시 이어도로 796,2024-05-20
다정이네김밥서귀포신시가지점,064-739-9140,제주특별자치도 서귀포시 이어도로 796,2024-05-20
구이랑돔베보쌈,064-739-1555,제주특별자치도 서귀포시 이어도로 797,2024-05-20
중문솥뚜껑,064-738-8131,제주특별자치도 서귀포시 이어도로 81,2024-05-20
귤밭사이로수제돈가스,064-738-0222,제주특별자치도 서귀포시 이어도로 845,2024-05-20
야자나라,064-739-4549,제주특별자치도 서귀포시 이어도로 846,2024-05-20
제주돠,,제주특별자치도 서귀포시 이어도로 852,2024-05-20
화수목야키토리,,제주특별자치도 서귀포시 이어도로 856,2024-05-20
씨유(CU)법환드림사거리점,,제주특별자치도 서귀포시 이어도로 866,2024-05-20
뿔소라몽땅,064-738-4902,제주특별자치도 서귀포시 이어도로 866-27,2024-05-20
다도,064-739-5969,제주특별자치도 서귀포시 이어도로 866-29,2024-05-20
제주양반갈비법환점,064-738-7499,제주특별자치도 서귀포시 이어도로 866-35,2024-05-20
대우정식당,064-733-0137,제주특별자치도 서귀포시 이어도로 866-37,2024-05-20
텐저린,064-738-9767,제주특별자치도 서귀포시 이어도로 880,2024-05-20
황궁식당,064-739-7128,제주특별자치도 서귀포시 이어도로 895,2024-05-20
GS25서귀법환점,,제주특별자치도 서귀포시 이어도로 900,2024-05-20
또똣시루,064-738-7724,제주특별자치도 서귀포시 이어도로 902,2024-05-20
다미안,,제주특별자치도 서귀포시 이어도로 905,2024-05-20
겸성식당,064-739-1266,제주특별자치도 서귀포시 이어도로 918,2024-05-20
대가식당,064-739-9337,제주특별자치도 서귀포시 이어도로 919,2024-05-20
최고봉주방,,제주특별자치도 서귀포시 이어도로 919,2024-05-20
봉자매,064-738-5578,제주특별자치도 서귀포시 이어도로 925,2024-05-20
법환나들목,064-739-4646,제주특별자치도 서귀포시 이어도로 930,2024-05-20
흑돼지꿀꿀이,064-739-7020,제주특별자치도 서귀포시 이어도로 933,2024-05-20
해담마트,064-738-8421,제주특별자치도 서귀포시 이어도로 938,2024-05-20
막숙해담식당,064-738-8422,제주특별자치도 서귀포시 이어도로 938,2024-05-20
세븐일레븐 서귀포법환점,,제주특별자치도 서귀포시 이어도로 938,2024-05-20
레브버터,,제주특별자치도 서귀포시 이어도로 945-1,2024-05-20
돈가스스토리,064-758-6280,제주특별자치도 서귀포시 이어도로 946,2024-05-20
신세기식당,064-739-3354,제주특별자치도 서귀포시 이어도로 950,2024-05-20
법환성,064-739-8008,제주특별자치도 서귀포시 이어도로 950,2024-05-20
한양슈퍼,064-739-7208,제주특별자치도 서귀포시 이어도로 951,2024-05-20
안뜨르,064-738-8461,제주특별자치도 서귀포시 이어도로 955-3,2024-05-20
파르다르(pardar),,제주특별자치도 서귀포시 이어도로 973,2024-05-20
(주)씨오르리조트,,제주특별자치도 서귀포시 이어도로 989,2024-05-20
오늘의바다,,제주특별자치도 서귀포시 이어도로 990,2024-05-20
제주탐몽,064-738-9956,제주특별자치도 서귀포시 이어도로1027번길 11,2024-05-20
그늘집,,제주특별자치도 서귀포시 이어도로1027번길 29,2024-05-20
귤꽃다락,,제주특별자치도 서귀포시 이어도로1027번길 34,2024-05-20
뷰티플마켓,064-738-7407,제주특별자치도 서귀포시 이어도로253번길,2024-05-20
동백정원,064-738-4592,제주특별자치도 서귀포시 이어도로343번길 117,2024-05-20
(유)케이디에셋 담앤루 밀탑,064-739-6611,제주특별자치도 서귀포시 이어도로343번길 63,2024-05-20
법환쌀다방,,제주특별자치도 서귀포시 이어도로901번길 7,2024-05-20
베이찡,064-732-8270,제주특별자치도 서귀포시 이중섭로 11,2024-05-20
오른발왼발서귀포점,064-732-9952,제주특별자치도 서귀포시 이중섭로 11,2024-05-20
통큰낙지 서귀포점,064-762-8790,제주특별자치도 서귀포시 이중섭로 11,2024-05-20
투하포,064-762-8881,제주특별자치도 서귀포시 이중섭로 11,2024-05-20
제주냉동삼겹살제주산,,제주특별자치도 서귀포시 이중섭로 11,2024-05-20
파스타앤소주,,제주특별자치도 서귀포시 이중섭로 11,2024-05-20
열열이얼큰이서귀포점,,제주특별자치도 서귀포시 이중섭로 11,2024-05-20
고땡,,제주특별자치도 서귀포시 이중섭로 11,2024-05-20
띠.아.모,064-733-9119,제주특별자치도 서귀포시 이중섭로 12,2024-05-20
